"filename", "language", "TypeScript", "Vue", "SCSS", "JavaScript React", "CSS", "svg", "JSON", "JavaScript", "HTML", "Markdown", "Ignore", "XML", "Groovy", "comment", "blank", "total"
"d:\Studies\Semester8\Bakalauras\health-system\server\src\constants\endpoint.ts", "TypeScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\Studies\Semester8\Bakalauras\health-system\server\src\helpers\auth.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\Studies\Semester8\Bakalauras\health-system\server\src\models\activity.ts", "TypeScript", 36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 4, 50
"d:\Studies\Semester8\Bakalauras\health-system\server\src\models\exercises.ts", "TypeScript", 57, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 61
"d:\Studies\Semester8\Bakalauras\health-system\server\src\models\mealPlans.ts", "TypeScript", 43, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 47
"d:\Studies\Semester8\Bakalauras\health-system\server\src\models\meals.ts", "TypeScript", 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 31
"d:\Studies\Semester8\Bakalauras\health-system\server\src\models\recipes.ts", "TypeScript", 51, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 55
"d:\Studies\Semester8\Bakalauras\health-system\server\src\models\sleeps.ts", "TypeScript", 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 31
"d:\Studies\Semester8\Bakalauras\health-system\server\src\models\users.ts", "TypeScript", 75, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 79
"d:\Studies\Semester8\Bakalauras\health-system\server\src\models\workouts.ts", "TypeScript", 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 23
"d:\Studies\Semester8\Bakalauras\health-system\server\src\routes.ts", "TypeScript", 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 15
"d:\Studies\Semester8\Bakalauras\health-system\server\src\routes\activities.ts", "TypeScript", 122, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 7, 135
"d:\Studies\Semester8\Bakalauras\health-system\server\src\routes\api.ts", "TypeScript", 84, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 14, 103
"d:\Studies\Semester8\Bakalauras\health-system\server\src\routes\exercises.ts", "TypeScript", 122, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 8, 141
"d:\Studies\Semester8\Bakalauras\health-system\server\src\routes\mailApi.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\Studies\Semester8\Bakalauras\health-system\server\src\routes\recipes.ts", "TypeScript", 49, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 56
"d:\Studies\Semester8\Bakalauras\health-system\server\src\routes\sleeps.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\Studies\Semester8\Bakalauras\health-system\server\src\routes\users.ts", "TypeScript", 302, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 14, 319
"d:\Studies\Semester8\Bakalauras\health-system\server\src\routes\workouts.ts", "TypeScript", 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 13
"d:\Studies\Semester8\Bakalauras\health-system\server\src\template\mailApi.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 155, 0, 0, 0, 0, 2, 2, 159
"d:\Studies\Semester8\Bakalauras\health-system\server\tsconfig.json", "JSON", 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 50, 8, 72
"d:\Studies\Semester8\Bakalauras\health-system\watch\app\index.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 2
"d:\Studies\Semester8\Bakalauras\health-system\watch\companion\index.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 2
"d:\Studies\Semester8\Bakalauras\health-system\watch\package-lock.json", "JSON", 0, 0, 0, 0, 0, 0, 4472, 0, 0, 0, 0, 0, 0, 0, 1, 4473
"d:\Studies\Semester8\Bakalauras\health-system\watch\package.json", "JSON", 0, 0, 0, 0, 0, 0, 28, 0, 0, 0, 0, 0, 0, 0, 1, 29
"d:\Studies\Semester8\Bakalauras\health-system\watch\resources\index.view", "svg", 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"d:\Studies\Semester8\Bakalauras\health-system\watch\resources\styles.css", "CSS", 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 13
"d:\Studies\Semester8\Bakalauras\health-system\watch\resources\widget.defs", "svg", 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7
