"filename", "language", "TypeScript", "SCSS", "Vue", "JSON", "svg", "CSS", "JavaScript", "JavaScript React", "HTML", "Markdown", "XML", "Groovy", "Ignore", "comment", "blank", "total"
"d:\Studies\Semester8\Bakalauras\health-system\mobile\app\store\index.ts", "TypeScript", 42, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 7, 67
"d:\Studies\Semester8\Bakalauras\health-system\mobile\app\store\modules\sideDrawer.ts", "TypeScript", 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 19
"d:\Studies\Semester8\Bakalauras\health-system\mobile\app\style\app.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\Studies\Semester8\Bakalauras\health-system\mobile\app\views\About.vue", "Vue", 0, 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 29
"d:\Studies\Semester8\Bakalauras\health-system\mobile\app\views\Activities\Exercises.vue", "Vue", 0, 0, 101, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 104
"d:\Studies\Semester8\Bakalauras\health-system\mobile\app\views\Activities\Exercises\Private.vue", "Vue", 0, 0, 110, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 6, 119
"d:\Studies\Semester8\Bakalauras\health-system\mobile\app\views\Activities\Exercises\PrivateAddEdit.vue", "Vue", 0, 0, 227, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 44, 25, 296
"d:\Studies\Semester8\Bakalauras\health-system\mobile\app\views\Activities\Exercises\PrivateDetails.vue", "Vue", 0, 0, 74, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 85
"d:\Studies\Semester8\Bakalauras\health-system\mobile\app\views\Activities\Exercises\Public.vue", "Vue", 0, 0, 100, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5, 106
"d:\Studies\Semester8\Bakalauras\health-system\mobile\app\views\Activities\Exercises\PublicDetails.vue", "Vue", 0, 0, 47, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 57
"d:\Studies\Semester8\Bakalauras\health-system\mobile\app\views\Activities\Exercises\Wger.vue", "Vue", 0, 0, 111, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 118
"d:\Studies\Semester8\Bakalauras\health-system\mobile\app\views\Activities\Exercises\WgerDetails.vue", "Vue", 0, 0, 47, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 57
"d:\Studies\Semester8\Bakalauras\health-system\mobile\app\views\Activities\WorkoutAddEdit.vue", "Vue", 0, 0, 187, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 44, 24, 255
"d:\Studies\Semester8\Bakalauras\health-system\mobile\app\views\Activities\WorkoutDetails.vue", "Vue", 0, 0, 76, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 89
"d:\Studies\Semester8\Bakalauras\health-system\mobile\app\views\Activities\Workouts.vue", "Vue", 0, 0, 126, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 7, 136
"d:\Studies\Semester8\Bakalauras\health-system\mobile\app\views\Activities\Workouts\Private.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\Studies\Semester8\Bakalauras\health-system\mobile\app\views\Activities\Workouts\Public.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\Studies\Semester8\Bakalauras\health-system\mobile\app\views\Activity.vue", "Vue", 0, 0, 110, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 6, 125
"d:\Studies\Semester8\Bakalauras\health-system\mobile\app\views\ActivityDetails.vue", "Vue", 0, 0, 72, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 82
"d:\Studies\Semester8\Bakalauras\health-system\mobile\app\views\ActivityDetailsEdit.vue", "Vue", 0, 0, 211, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 44, 24, 279
"d:\Studies\Semester8\Bakalauras\health-system\mobile\app\views\DayPage.vue", "Vue", 0, 0, 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 2, 36
"d:\Studies\Semester8\Bakalauras\health-system\mobile\app\views\Food\Meals.vue", "Vue", 0, 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 29
